# 图像名称  long_pointer数量  short_pointer数量
img_1771_cropped_transformed.jpg  1  1
img_1773_cropped_transformed.jpg  1  1
img_1774_cropped_transformed.jpg  1  1
img_1775_cropped_transformed.jpg  2  0
img_1776_cropped_transformed.jpg  1  1
img_1777_cropped_transformed.jpg  1  1
img_1778_cropped_transformed.jpg  1  1
img_1779_cropped_transformed.jpg  1  1
img_1780_cropped_transformed.jpg  1  1
img_1781_cropped_transformed.jpg  1  1
img_1782_cropped_transformed.jpg  1  1
img_1783_cropped_transformed.jpg  1  1
img_1784_cropped_transformed.jpg  3  1
img_1785_cropped_transformed.jpg  1  1
img_1786_cropped_transformed.jpg  1  1
img_1787_cropped_transformed.jpg  1  1
img_1788_cropped_transformed.jpg  1  1
img_1790_cropped_transformed.jpg  1  1
img_1791_cropped_transformed.jpg  1  0
img_1792_cropped_transformed.jpg  1  1
img_1794_cropped_transformed.jpg  1  1
img_1795_cropped_transformed.jpg  1  1
img_1798_cropped_transformed.jpg  3  1
img_1799_cropped_transformed.jpg  1  0
img_1800_cropped_transformed.jpg  1  1
img_1801_cropped_transformed.jpg  1  1
img_1802_cropped_transformed.jpg  2  0
img_1803_cropped_transformed.jpg  1  1
img_1804_cropped_transformed.jpg  1  1
img_1805_cropped_transformed.jpg  1  1
img_1806_cropped_transformed.jpg  1  1
img_1807_cropped_transformed.jpg  1  1
img_18903_cropped_transformed.jpg  1  1
img_18906_cropped_transformed.jpg  0  2
img_18908_cropped_transformed.jpg  1  1
img_18909_cropped_transformed.jpg  1  1
img_18911_cropped_transformed.jpg  1  1
img_18912_cropped_transformed.jpg  1  1
img_18913_cropped_transformed.jpg  1  1
img_18914_cropped_transformed.jpg  1  1
img_18917_cropped_transformed.jpg  1  1
img_18918_cropped_transformed.jpg  1  1
img_18919_cropped_transformed.jpg  1  1
img_18921_cropped_transformed.jpg  0  2
img_18922_cropped_transformed.jpg  1  1
img_18927_cropped_transformed.jpg  1  1
img_18928_cropped_transformed.jpg  1  1
img_18930_cropped_transformed.jpg  1  1
img_18931_cropped_transformed.jpg  1  1
img_18935_cropped_transformed.jpg  1  1
img_18937_cropped_transformed.jpg  1  1
img_18938_cropped_transformed.jpg  1  1
img_18939_cropped_transformed.jpg  1  1
img_18940_cropped_transformed.jpg  1  1
img_18941_cropped_transformed.jpg  1  1
img_18942_cropped_transformed.jpg  1  1
img_18944_cropped_transformed.jpg  1  2
img_18945_cropped_transformed.jpg  1  1
img_18946_cropped_transformed.jpg  1  1
img_18947_cropped_transformed.jpg  1  1
img_18952_cropped_transformed.jpg  2  1
img_18953_cropped_transformed.jpg  1  1
img_18954_cropped_transformed.jpg  1  1
img_18964_cropped_transformed.jpg  1  1
img_18967_cropped_transformed.jpg  1  1
img_20177_cropped_transformed.jpg  1  1
img_20179_cropped_transformed.jpg  1  1
img_20181_cropped_transformed.jpg  1  1
img_20182_cropped_transformed.jpg  1  1
img_20184_cropped_transformed.jpg  1  1
img_20187_cropped_transformed.jpg  2  1
img_20188_cropped_transformed.jpg  1  1
img_20191_cropped_transformed.jpg  1  1
img_20192_cropped_transformed.jpg  1  1
img_20193_cropped_transformed.jpg  1  1
img_20194_cropped_transformed.jpg  1  1
img_20196_cropped_transformed.jpg  2  1
img_20197_cropped_transformed.jpg  1  1
img_20198_cropped_transformed.jpg  1  2
img_20199_cropped_transformed.jpg  1  1
img_202_cropped_transformed.jpg  1  1
img_203_cropped_transformed.jpg  1  1
img_204_cropped_transformed.jpg  2  1
img_205_cropped_transformed.jpg  1  1
img_206_cropped_transformed.jpg  2  1
img_207_cropped_transformed.jpg  1  1
img_208_cropped_transformed.jpg  1  3
img_209_cropped_transformed.jpg  1  1
img_210_cropped_transformed.jpg  1  2
img_211_cropped_transformed.jpg  2  2
img_212_cropped_transformed.jpg  2  2
img_2133_cropped_transformed.jpg  1  1
img_2134_cropped_transformed.jpg  1  1
img_2135_cropped_transformed.jpg  2  1
img_2136_cropped_transformed.jpg  1  1
img_2137_cropped_transformed.jpg  1  1
img_2138_cropped_transformed.jpg  1  0
img_213_cropped_transformed.jpg  1  1
img_2140_cropped_transformed.jpg  1  0
img_2141_cropped_transformed.jpg  1  1
img_2142_cropped_transformed.jpg  2  0
img_2143_cropped_transformed.jpg  1  1
img_2144_cropped_transformed.jpg  1  2
img_2145_cropped_transformed.jpg  1  1
img_2146_cropped_transformed.jpg  1  1
img_2147_cropped_transformed.jpg  2  1
img_2149_cropped_transformed.jpg  1  1
img_214_cropped_transformed.jpg  1  2
img_2150_cropped_transformed.jpg  1  1
img_2151_cropped_transformed.jpg  1  2
img_2153_cropped_transformed.jpg  2  1
